,RAW_DATA
0,Sensor initialized
455,882483.00
456,882494.00
457,882486.00
458,882483.00
459,882488.00
460,882490.00
461,882494.00
462,882488.00
463,882488.00
464,882499.00
465,882506.00
466,882489.00
467,882479.00
468,882508.00
469,882506.00
470,882501.00
471,882500.00
472,882518.00
473,882536.00
474,882533.00
475,882526.00
476,882498.00
477,882541.00
478,882532.00
479,882537.00
480,882534.00
481,882528.00
482,882588.00
483,882570.00
484,882584.00
485,882580.00
486,882588.00
487,882587.00
488,882597.00
489,882581.00
490,882589.00
491,882595.00
492,882584.00
493,882587.00
494,882580.00
495,882600.00
496,882595.00
497,882589.00
498,882590.00
499,882585.00
500,882342.00
501,882336.00
502,882331.00
503,882337.00
504,882321.00
505,882329.00
506,882334.00
507,882323.00
508,882455.00
509,882462.00
510,882461.00
511,882458.00
512,882466.00
513,882457.00
514,882452.00
515,882466.00
516,882469.00
517,882515.00
518,882515.00
519,882527.00
520,882515.00
521,882523.00
522,882521.00
523,882515.00
524,882536.00
525,882516.00
526,882516.00
527,882502.00
528,882528.00
529,882525.00
530,882520.00
531,882524.00
532,882520.00
533,882515.00
534,882530.00
535,882595.00
536,882581.00
537,882581.00
538,882580.00
539,882569.00
540,882581.00
541,882578.00
542,882579.00
543,882591.00
544,882604.00
545,882611.00
546,882619.00
547,882612.00
548,882612.00
549,882620.00
550,882616.00
551,882609.00
552,882608.00
553,882614.00
554,882594.00
555,882611.00
556,882610.00
557,882601.00
558,882596.00
559,882609.00
560,882599.00
561,882586.00
562,882376.00
563,882363.00
564,882377.00
565,882381.00
566,882383.00
567,882368.00
568,882388.00
569,882390.00
570,882387.00
571,882517.00
572,882516.00
573,882534.00
574,882515.00
575,882539.00
576,882504.00
577,882533.00
578,882540.00
579,882531.00
580,882544.00
581,882537.00
582,882550.00
583,882541.00
584,882534.00
585,882521.00
586,882525.00
587,882528.00
588,882527.00
589,882576.00
590,882587.00
591,882579.00
592,882588.00
593,882574.00
594,882564.00
595,882584.00
596,882590.00
597,882582.00
598,882616.00
599,882626.00
600,882628.00
601,882615.00
602,882629.00
603,882622.00
604,882631.00
605,882631.00
606,882632.00
607,882644.00
608,882626.00
609,882642.00
610,882652.00
611,882644.00
612,882651.00
613,882655.00
614,882652.00
615,882662.00
616,882494.00
617,882466.00
618,882463.00
619,882456.00
620,882439.00
621,882428.00
622,882423.00
623,882414.00
624,882407.00
625,882417.00
626,882412.00
627,882432.00
628,882434.00
629,882435.00
630,882441.00
631,882454.00
632,882455.00
633,882448.00
634,882557.00
635,882546.00
636,882560.00
637,882574.00
638,882575.00
639,882578.00
640,882557.00
641,882565.00
642,882562.00
643,882547.00
644,882539.00
645,882538.00
646,882550.00
647,882552.00
648,882543.00
649,882545.00
650,882549.00
651,882545.00
652,882582.00
653,882594.00
654,882594.00
655,882593.00
656,882593.00
657,882592.00
658,882592.00
659,882595.00
660,882604.00
661,882632.00
662,882641.00
663,882637.00
664,882630.00
665,882632.00
666,882637.00
667,882636.00
668,882638.00
669,882640.00
670,882614.00
671,882617.00
672,882606.00
673,882616.00
674,882619.00
675,882622.00
676,882622.00
677,882622.00
678,882620.00
679,882363.00
680,882355.00
681,882359.00
682,882356.00
683,882353.00
684,882362.00
685,882380.00
686,882362.00
687,882362.00
688,882480.00
689,882475.00
690,882490.00
691,882489.00
692,882497.00
693,882495.00
694,882514.00
695,882501.00
696,882502.00
697,882541.00
698,882530.00
699,882549.00
700,882553.00
701,882536.00
702,882534.00
703,882534.00
704,882538.00
705,882534.00
706,882520.00
707,882506.00
708,882531.00
709,882525.00
710,882522.00
711,882526.00
712,882518.00
713,882531.00
714,882529.00
715,882554.00
716,882553.00
717,882564.00
718,882567.00
719,882560.00
720,882563.00
721,882534.00
722,882565.00
723,882557.00
724,882601.00
725,882568.00
726,882576.00
727,882586.00
728,882584.00
729,882593.00
730,882578.00
731,882608.00
732,882610.00
733,882512.00
734,882481.00
735,882477.00
736,882457.00
737,882441.00
738,882427.00
739,882425.00
740,882409.00
741,882401.00
742,882378.00
743,882370.00
744,882391.00
745,882389.00
746,882398.00
747,882397.00
748,882392.00
749,882402.00
750,882407.00
751,882499.00
752,882490.00
753,882490.00
754,882499.00
755,882492.00
756,882501.00
757,882491.00
758,882488.00
759,882502.00
760,882470.00
761,882475.00
762,882472.00
763,882470.00
764,882472.00
765,882486.00
766,882460.00
767,882475.00
768,882486.00
769,882524.00
770,882530.00
771,882542.00
772,882530.00
773,882523.00
774,882529.00
775,882525.00
776,882542.00
777,882530.00
778,882623.00
779,882633.00
780,882626.00
781,882617.00
782,882609.00
783,882614.00
784,882622.00
785,882625.00
786,882633.00
787,882620.00
788,882628.00
789,882606.00
790,882598.00
791,882592.00
792,882578.00
793,882556.00
794,882552.00
795,882536.00
796,882387.00
797,882413.00
798,882414.00
799,882417.00
800,882409.00
801,882413.00
802,882401.00
803,882424.00
804,882422.00
805,882563.00
806,882570.00
807,882581.00
808,882582.00
809,882573.00
810,882574.00
811,882543.00
812,882576.00
813,882574.00
814,882546.00
815,882556.00
816,882552.00
817,882544.00
818,882557.00
819,882553.00
820,882536.00
821,882558.00
822,882549.00
823,882591.00
824,882583.00
825,882596.00
826,882591.00
827,882582.00
828,882587.00
829,882572.00
830,882587.00
831,882591.00
832,882631.00
833,882638.00
834,882634.00
835,882641.00
836,882632.00
837,882632.00
838,882634.00
839,882634.00
840,882649.00
841,882659.00
842,882664.00
843,882642.00
844,882645.00
845,882650.00
846,882640.00
847,882630.00
848,882628.00
849,882621.00
850,882387.00
851,882383.00
852,882376.00
853,882394.00
854,882399.00
855,882399.00
856,882408.00
857,882409.00
858,882410.00
859,882533.00
860,882528.00
861,882532.00
862,882531.00
863,882532.00
864,882544.00
865,882544.00
866,882552.00
867,882557.00
868,882523.00
869,882513.00
870,882496.00
871,882524.00
872,882509.00
873,882528.00
874,882513.00
875,882511.00
876,882512.00
877,882535.00
878,882547.00
879,882528.00
880,882542.00
881,882541.00
882,882537.00
883,882541.00
884,882537.00
885,882533.00
886,882578.00
887,882579.00
888,882579.00
889,882572.00
890,882580.00
891,882574.00
892,882576.00
893,882576.00
